support,confidence,lift,artistID1,artistID2,artistID3
0.099315068,0.790909091,1.630203209,5K4W6rqBFWDnAN6FQUkS6x,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4
0.117579909,0.8046875,1.874750665,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,5pKCCKE2ajJHZ9KAiaK11H
0.117579909,0.78030303,1.608342246,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4
0.117579909,0.391634981,1.741483469,5pKCCKE2ajJHZ9KAiaK11H,3TVXtAsR1Inumwj472S9r4,00FQb4jTyendYWaN8pK0wa
0.098173516,0.671875,1.94888245,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,66CXWjxzNUsdJxJ2JdwvnR
0.098173516,0.826923077,1.704434389,66CXWjxzNUsdJxJ2JdwvnR,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4
0.098173516,0.4,1.778680203,66CXWjxzNUsdJxJ2JdwvnR,3TVXtAsR1Inumwj472S9r4,00FQb4jTyendYWaN8pK0wa
0.089041096,0.609375,1.948220803,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,69GGBxA162lTqCwzJG5jLp
0.089041096,0.804123711,1.657440873,00FQb4jTyendYWaN8pK0wa,69GGBxA162lTqCwzJG5jLp,3TVXtAsR1Inumwj472S9r4
0.089041096,0.40625,1.806472081,69GGBxA162lTqCwzJG5jLp,3TVXtAsR1Inumwj472S9r4,00FQb4jTyendYWaN8pK0wa
0.090182648,0.6171875,1.917220745,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,6LuN9FCkKOj5PcnpouEgny
0.090182648,0.806122449,1.661560624,6LuN9FCkKOj5PcnpouEgny,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4
0.090182648,0.387254902,1.722006569,6LuN9FCkKOj5PcnpouEgny,3TVXtAsR1Inumwj472S9r4,00FQb4jTyendYWaN8pK0wa
0.093607306,0.640625,1.88317953,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,6vWDO969PvNqNYHIOW5v0m
0.093607306,0.788461538,1.625158371,00FQb4jTyendYWaN8pK0wa,6vWDO969PvNqNYHIOW5v0m,3TVXtAsR1Inumwj472S9r4
0.093607306,0.401960784,1.787399224,6vWDO969PvNqNYHIOW5v0m,3TVXtAsR1Inumwj472S9r4,00FQb4jTyendYWaN8pK0wa
0.091324201,0.625,2.066037736,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,738wLrAtLtCtFOLvQBXOXp
0.091324201,0.808080808,1.665597148,738wLrAtLtCtFOLvQBXOXp,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4
0.091324201,0.414507772,1.84319192,738wLrAtLtCtFOLvQBXOXp,3TVXtAsR1Inumwj472S9r4,00FQb4jTyendYWaN8pK0wa
0.107305936,0.734375,1.82759233,00FQb4jTyendYWaN8pK0wa,3TVXtAsR1Inumwj472S9r4,7CajNmpbOovFoOoasH2HaY
0.107305936,0.796610169,1.641954138,00FQb4jTyendYWaN8pK0wa,7CajNmpbOovFoOoasH2HaY,3TVXtAsR1Inumwj472S9r4
0.107305936,0.382113821,1.699145722,7CajNmpbOovFoOoasH2HaY,3TVXtAsR1Inumwj472S9r4,00FQb4jTyendYWaN8pK0wa
0.083333333,0.744897959,1.735453756,00FQb4jTyendYWaN8pK0wa,4gzpq5DPGxSnKTe4SA8HAU,5pKCCKE2ajJHZ9KAiaK11H
0.083333333,0.553030303,1.849063151,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,4gzpq5DPGxSnKTe4SA8HAU
0.083333333,0.450617284,2.003760105,5pKCCKE2ajJHZ9KAiaK11H,4gzpq5DPGxSnKTe4SA8HAU,00FQb4jTyendYWaN8pK0wa
0.100456621,0.8,1.863829787,5K4W6rqBFWDnAN6FQUkS6x,00FQb4jTyendYWaN8pK0wa,5pKCCKE2ajJHZ9KAiaK11H
0.100456621,0.666666667,1.668571429,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,5K4W6rqBFWDnAN6FQUkS6x
0.100456621,0.392857143,1.746918057,5pKCCKE2ajJHZ9KAiaK11H,5K4W6rqBFWDnAN6FQUkS6x,00FQb4jTyendYWaN8pK0wa
0.082191781,0.654545455,1.924100061,5K4W6rqBFWDnAN6FQUkS6x,00FQb4jTyendYWaN8pK0wa,6vWDO969PvNqNYHIOW5v0m
0.082191781,0.692307692,1.732747253,00FQb4jTyendYWaN8pK0wa,6vWDO969PvNqNYHIOW5v0m,5K4W6rqBFWDnAN6FQUkS6x
0.082191781,0.4,1.778680203,5K4W6rqBFWDnAN6FQUkS6x,6vWDO969PvNqNYHIOW5v0m,00FQb4jTyendYWaN8pK0wa
0.083333333,0.663636364,1.651549587,5K4W6rqBFWDnAN6FQUkS6x,00FQb4jTyendYWaN8pK0wa,7CajNmpbOovFoOoasH2HaY
0.083333333,0.618644068,1.548377724,00FQb4jTyendYWaN8pK0wa,7CajNmpbOovFoOoasH2HaY,5K4W6rqBFWDnAN6FQUkS6x
0.083333333,0.386243386,1.717508662,5K4W6rqBFWDnAN6FQUkS6x,7CajNmpbOovFoOoasH2HaY,00FQb4jTyendYWaN8pK0wa
0.084474886,0.762886598,1.777363457,00FQb4jTyendYWaN8pK0wa,5WUlDfRSoLAfcVSX1WnrxN,5pKCCKE2ajJHZ9KAiaK11H
0.084474886,0.560606061,1.948773449,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,5WUlDfRSoLAfcVSX1WnrxN
0.084474886,0.443113772,1.970394237,5pKCCKE2ajJHZ9KAiaK11H,5WUlDfRSoLAfcVSX1WnrxN,00FQb4jTyendYWaN8pK0wa
0.082191781,0.742268041,1.847235239,00FQb4jTyendYWaN8pK0wa,5WUlDfRSoLAfcVSX1WnrxN,7CajNmpbOovFoOoasH2HaY
0.082191781,0.610169492,2.121065375,00FQb4jTyendYWaN8pK0wa,7CajNmpbOovFoOoasH2HaY,5WUlDfRSoLAfcVSX1WnrxN
0.082191781,0.416184971,1.850649922,5WUlDfRSoLAfcVSX1WnrxN,7CajNmpbOovFoOoasH2HaY,00FQb4jTyendYWaN8pK0wa
0.095890411,0.636363636,1.845875978,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,66CXWjxzNUsdJxJ2JdwvnR
0.095890411,0.807692308,1.881751227,66CXWjxzNUsdJxJ2JdwvnR,00FQb4jTyendYWaN8pK0wa,5pKCCKE2ajJHZ9KAiaK11H
0.095890411,0.396226415,1.761900201,5pKCCKE2ajJHZ9KAiaK11H,66CXWjxzNUsdJxJ2JdwvnR,00FQb4jTyendYWaN8pK0wa
0.089041096,0.590909091,1.889183809,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,69GGBxA162lTqCwzJG5jLp
0.089041096,0.804123711,1.873437157,00FQb4jTyendYWaN8pK0wa,69GGBxA162lTqCwzJG5jLp,5pKCCKE2ajJHZ9KAiaK11H
0.089041096,0.426229508,1.89531497,5pKCCKE2ajJHZ9KAiaK11H,69GGBxA162lTqCwzJG5jLp,00FQb4jTyendYWaN8pK0wa
0.083333333,0.553030303,1.71792392,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,6LuN9FCkKOj5PcnpouEgny
0.083333333,0.744897959,1.735453756,6LuN9FCkKOj5PcnpouEgny,00FQb4jTyendYWaN8pK0wa,5pKCCKE2ajJHZ9KAiaK11H
0.083333333,0.394594595,1.754643984,5pKCCKE2ajJHZ9KAiaK11H,6LuN9FCkKOj5PcnpouEgny,00FQb4jTyendYWaN8pK0wa
0.087899543,0.583333333,1.913857678,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,6eUKZXaKkcviH0Ku9w2n3V
0.087899543,0.810526316,1.888353863,00FQb4jTyendYWaN8pK0wa,6eUKZXaKkcviH0Ku9w2n3V,5pKCCKE2ajJHZ9KAiaK11H
0.087899543,0.418478261,1.860847495,5pKCCKE2ajJHZ9KAiaK11H,6eUKZXaKkcviH0Ku9w2n3V,00FQb4jTyendYWaN8pK0wa
0.102739726,0.681818182,2.004270897,5pKCCKE2ajJHZ9KAiaK11H,00FQb4jTyendYWaN8pK0wa,6vWDO969PvNqNYHIOW5v0m
0.102739726,0.865384615,2.016162029,00FQb4jTyendYWaN8pK0wa,6vWDO969PvNqNYHIOW5v0m,5pKCCKE2ajJHZ9KAiaK11H
